ID;hatching;1st molt;2nd molt;3rd molt;4th molt;eonymph;eonymph2;adulthatch;hatchingweightmg;treatmentweight;masschange;s;larvaltreat;treatment;died;purpose;pupaestageduration;larvalstageduration;totallifespan;adultlifespan;velocity;distancemoved;immobileduration;highlymobileduration;drybodymass;lipidmasstotal;lipidmgmgbodymass;carbsmasstotal;carbsmgmgbodymass
1;04.10.2023;6;8;11;14;20;;;;;;;no;no;;B,L;;16;;;;;;;;;;;
2;02.10.2023;3;5;7;10;14;;01.11.2023;10.10;9.50;-0.60;male;no;no;;B,M;18;12;;;0.0409551;147.373;3367.52;18.72;3.292;1.877;0.5703;0.124;0.0376
3;02.10.2023;4;6;8;10;13;;31.10.2023;22.70;20.70;-2.00;female;no;no;;B,M;18;11;;;0.150134;540.242;2859.48;108.68;7.437;2.915;0.3920;0.236;0.0318
4;02.10.2023;3;6;8;11;16;;06.11.2023;9.30;9.80;0.50;male;no;no;;B,M;21;14;;;0.267041;960.644;2194.4;538.2;2.641;1.752;0.6632;0.086;0.0324
5;02.10.2023;5;8;11;13;16;;04.11.2023;18.10;16.50;-1.60;female;no;no;20.11.2023;B,L;19;14;49;16;0.151971;546.854;2983.24;183.56;;;;;
6;02.10.2023;3;6;8;11;15;;02.11.2023;10.20;8.30;-1.90;male;no;no;;B,M;18;13;;;0.0422042;151.868;3388.84;28.08;3.031;2.097;0.6920;0.094;0.0309
7;04.10.2023;6;8;10;13;18;;05.11.2023;11.70;9.50;-2.20;male;no;no;;B,M;18;14;;;0.203931;734.036;2565.16;475.8;2.925;0.242;0.0828;0.094;0.0320
8;02.10.2023;4;6;8;11;14;;01.11.2023;18.10;19.10;1.00;female;no;no;16.11.2023;L;18;12;45;15;;;;;;;;;
9;02.10.2023;3;5;8;10;15;;07.11.2023;10.80;7.80;-3.00;male;no;no;;B,M;23;13;;;0.0270502;97.3373;3554.2;3.12;2.361;0.871;0.3689;0.075;0.0317
10;04.10.2023;7;9;11;13;16;;04.11.2023;11.50;9.90;-1.60;male;no;no;;B,M;19;12;;;0.493279;1775.53;1877.2;1034.28;3.365;2.066;0.6140;0.104;0.0310
11;03.10.2023;5;7;8;10;14;;01.11.2023;12.70;10.40;-2.30;male;no;no;14.11.2023;L;18;11;42;13;;;;;;;;;
12;02.10.2023;4;6;8;11;14;;01.11.2023;20.90;20.40;-0.50;female;no;no;16.11.2023;L;18;12;45;15;;;;;;;;;
13;03.10.2023;5;6;8;11;14;;01.11.2023;20.60;22.00;1.40;female;no;no;;B,M;18;11;;;0.0993032;357.333;3076.84;38.48;7.692;1.877;0.2441;0.358;0.0466
14;03.10.2023;4;6;8;11;15;;03.11.2023;10.40;9.80;-0.60;male;no;no;;B,M;19;12;;;0.330433;1189.37;1960.4;622.44;3.008;2.192;0.7287;0.063;0.0210
15;03.10.2023;5;7;9;12;15;;03.11.2023;10.90;10.10;-0.80;male;no;no;23.11.2023;B,L;19;12;51;20;0.12146;437.06;3040.44;168.48;;;;;
16;02.10.2023;3;5;7;10;14;;01.11.2023;10.20;8.80;-1.40;male;no;no;18.11.2023;L;18;12;47;17;;;;;;;;;
17;02.10.2023;4;7;8;10;13;;31.10.2023;10.80;9.80;-1.00;male;no;no;;B,M;18;11;;;0.119568;430.254;3079.44;171.6;3.247;1.814;0.5588;0.162;0.0499
18;04.10.2023;6;9;11;13;16;;04.11.2023;12.10;11.10;-1.00;male;no;no;22.11.2023;B,L;19;12;49;18;0.148931;536.224;2698.28;123.24;;;;;
19;03.10.2023;5;6;8;10;14;;31.10.2023;20.00;20.00;0.00;female;no;no;;B,M;17;11;;;0.0843171;303.406;3156.4;43.68;6.744;2.789;0.4136;0.239;0.0354
20;04.10.2023;6;9;11;13;16;;05.11.2023;13.90;11.20;-2.70;male;no;no;23.11.2023;B,L;20;12;50;18;0.068458;246.339;3326.44;77.48;;;;;
21;02.10.2023;4;6;8;10;14;;31.10.2023;21.40;20.00;-1.40;female;no;no;;B,M;17;12;;;0.167693;603.425;2801.24;187.72;7.342;2.223;0.3028;0.244;0.0333
22;04.10.2023;6;8;10;12;16;;02.11.2023;22.40;21.50;-0.90;female;no;no;;B,M;17;12;;;0.163281;587.55;2719.08;110.76;7.272;2.349;0.3230;0.191;0.0262
23;04.10.2023;6;8;10;12;16;;02.11.2023;22.10;22.50;0.40;female;no;no;21.11.2023;B,L;17;12;48;19;0.115825;416.786;3011.84;86.32;;;;;
24;02.10.2023;4;7;9;11;14;;01.11.2023;11.10;9.50;-1.60;male;no;no;17.11.2023;L;18;12;46;16;;;;;;;;;
25;02.10.2023;3;6;8;11;15;;02.11.2023;9.10;7.30;-1.80;male;no;no;;B,M;18;13;;;0.30392;1093.62;1804.4;512.2;2.459;1.154;0.4693;0.060;0.0243
26;02.10.2023;4;6;8;10;14;;31.10.2023;21.80;20.20;-1.60;female;no;no;15.11.2023;L;17;12;44;15;;;;;;;;;
27;03.10.2023;5;6;8;11;14;;01.11.2023;20.80;20.60;-0.20;female;no;no;23.11.2023;L;18;11;51;22;;;;;;;;;
28;02.10.2023;4;6;8;10;14;;01.11.2023;17.90;19.50;1.60;female;no;no;21.11.2023;L;18;12;50;20;;;;;;;;;
29;03.10.2023;6;9;11;13;17;;04.11.2023;10.40;9.90;-0.50;male;no;no;;B,M;18;14;;;0.38055;1369.37;1955.72;696.8;2.992;2.097;0.7010;0.056;0.0187
30;02.10.2023;4;6;8;12;15;;01.11.2023;19.90;19.00;-0.90;female;no;no;24.11.2023;L;17;13;53;23;;;;;;;;;
31;03.10.2023;5;8;11;14;18;;06.11.2023;10.10;11.70;1.60;male;larval;larval;;B,M;19;15;;;0.0901573;324.61;3206.84;142.48;2.915;1.217;0.4175;0.264;0.0905
32;03.10.2023;6;8;12;15;;;;;;;;larval;larval;15.10.2023;L;;;12;0;;;;;;;;;
33;02.10.2023;4;7;10;13;16;;04.11.2023;13.20;9.00;-4.20;male;larval;larval;;B,M;19;14;;;0.170145;612.249;2777.32;209.04;2.872;2.003;0.6975;0.042;0.0146
34;04.10.2023;7;9;11;13;16;20;07.11.2023;14.40;11.70;-2.70;male;larval;larval;23.11.2023;B,L;22;16;50;16;0.0646579;232.665;3280.16;59.8;;;;;
35;02.10.2023;4;7;9;11;16;;03.11.2023;10.40;9.30;-1.10;male;larval;larval;;B,M;18;14;;;0.162821;586.065;2552.16;215.28;2.942;1.846;0.6274;0.077;0.0260
36;02.10.2023;3;5;7;12;18;;06.11.2023;9.50;10.60;1.10;male;larval;larval;24.11.2023;B,L;19;16;53;18;0.0843623;303.745;3070.08;37.96;;;;;
37;04.10.2023;6;9;12;14;19;;05.11.2023;17.80;15.40;-2.40;female;larval;larval;;B,M;17;15;;;0.074313;267.408;3309.8;87.88;5.789;5.431;0.9381;0.160;0.0276
38;02.10.2023;3;4;7;11;16;;04.11.2023;12.90;9.00;-3.90;male;larval;larval;24.11.2023;B,L;19;14;53;20;0.0737072;265.305;3217.76;67.08;;;;;
39;03.10.2023;5;8;11;14;18;;05.11.2023;12.10;10.90;-1.20;male;larval;larval;;B,M;18;15;;;0.109594;394.591;2924.48;76.44;3.511;1.374;0.3914;0.107;0.0304
40;03.10.2023;6;8;11;14;16;20;07.11.2023;22.20;20.10;-2.10;female;larval;larval;;B,M;22;17;;;0.0538357;193.722;3343.08;27.04;7.514;4.991;0.6642;0.146;0.0194
41;03.10.2023;4;6;8;12;17;;05.11.2023;10.10;9.30;-0.80;male;larval;larval;24.11.2023;B,L;19;14;52;19;0.13988;503.637;2914.6;206.44;;;;;
42;02.10.2023;4;6;10;13;16;;04.11.2023;21.00;18.20;-2.80;female;larval;larval;;B,M;19;14;;;0.0977434;351.72;3109.08;53.56;6.703;1.689;0.2519;0.235;0.0351
43;03.10.2023;5;7;9;13;17;;;;;;;larval;larval;;B,L;;14;;0;;;;;;;;;
44;03.10.2023;5;7;12;15;19;;05.11.2023;8.20;6.80;-1.40;male;larval;larval;;B,M;17;16;;;0.17434;627.346;2588.56;244.92;2.599;2.538;0.9764;0.069;0.0264
