"variable","sex","treatment","letter"
"treatmentweight","female","adult","ab"
"treatmentweight","female","double","a"
"treatmentweight","female","larval","bc"
"treatmentweight","female","no","c"
"masschange","female","adult","a"
"masschange","female","double","a"
"masschange","female","larval","b"
"masschange","female","no","b"
"totallifespan","female","adult","a"
"totallifespan","female","double","b"
"totallifespan","female","larval","ab"
"totallifespan","female","no","ab"
"adultlifespan","female","adult","a"
"adultlifespan","female","double","a"
"adultlifespan","female","larval","a"
"adultlifespan","female","no","a"
"distancemoved","female","adult","a"
"distancemoved","female","double","a"
"distancemoved","female","larval","a"
"distancemoved","female","no","a"
"immobileduration","female","adult","a"
"immobileduration","female","double","a"
"immobileduration","female","larval","a"
"immobileduration","female","no","a"
"lipidmgmgbodymass","female","adult","a"
"lipidmgmgbodymass","female","double","a"
"lipidmgmgbodymass","female","larval","a"
"lipidmgmgbodymass","female","no","a"
"carbsmgmgbodymass","female","adult","a"
"carbsmgmgbodymass","female","double","a"
"carbsmgmgbodymass","female","larval","a"
"carbsmgmgbodymass","female","no","a"
"treatmentweight","male","adult","a"
"treatmentweight","male","double","a"
"treatmentweight","male","larval","a"
"treatmentweight","male","no","a"
"masschange","male","adult","a"
"masschange","male","double","a"
"masschange","male","larval","a"
"masschange","male","no","a"
"totallifespan","male","adult","ab"
"totallifespan","male","double","a"
"totallifespan","male","larval","b"
"totallifespan","male","no","ab"
"adultlifespan","male","adult","a"
"adultlifespan","male","double","a"
"adultlifespan","male","larval","a"
"adultlifespan","male","no","a"
"distancemoved","male","adult","a"
"distancemoved","male","double","a"
"distancemoved","male","larval","a"
"distancemoved","male","no","a"
"immobileduration","male","adult","a"
"immobileduration","male","double","a"
"immobileduration","male","larval","a"
"immobileduration","male","no","a"
"lipidmgmgbodymass","male","adult","ab"
"lipidmgmgbodymass","male","double","a"
"lipidmgmgbodymass","male","larval","b"
"lipidmgmgbodymass","male","no","b"
"carbsmgmgbodymass","male","adult","a"
"carbsmgmgbodymass","male","double","a"
"carbsmgmgbodymass","male","larval","ab"
"carbsmgmgbodymass","male","no","b"
